,Gene,Degree
330,COX16,6
331,CCBE1,6
332,CBR3,6
333,CATSPER2,6
334,C21orf24,6
335,ZNF765,5
336,ZNF669,5
337,ZNF43,5
338,TMEM128,5
339,TDRD1,5
340,SPINT3,5
341,RSU1,5
342,RAG1AP1,5
343,PPM1K,5
344,PLIN5,5
345,PACRGL,5
346,MRP63,5
347,MGC12760,5
348,LOC100129269,5
349,LOC100128086,5
350,FKTN,5
351,C5orf28,5
352,APOBEC3D,5
353,ABCF2,5
354,UTP20,4
355,SPINK1,4
356,SNORD3A,4
357,SNORD114-7,4
358,PLXNA4,4
359,NT5DC3,4
360,MTPAP,4
361,LOC93349,4
362,LOC727773,4
363,LOC646897,4
364,LOC100132870,4
365,HFE,4
366,FHIT,4
367,FCF1,4
368,FAM175A,4
369,DSN1,4
370,AMOTL2,4
371,WDR48,3
372,SULT1A1,3
373,RUNDC2B,3
374,PODXL,3
375,PIGW,3
376,MDM1,3
377,IMPACT,3
378,CEACAM1,3
379,C9orf116,3
380,BCAS4,3
381,COX15,2
